Valor,,Etiqueta
estrato,1.00,menos 2500
,2.00, 2500-100mil
,3.00,100 mil o mas
region_cv,1.00,Pacifico-Norte
,2.00,Frontera
,3.00,Pacifico-Centro
,4.00,Centro-Norte
,5.00,Centro
,6.00,Cd México
,7.00,Edo México
,8.00,Pacífico-Sur
,9.00,Península
NOTA1,1,"¿Acepta usted? ,,,, Sí"
,2,"¿Acepta usted? ,,,, No"
ADUL,1,Favor de continuar
H0302,1,Hombre
,2,Mujer
NOTA04,1,Favor de continuar
ADUL101,1,"Sí, dice haberse aplicado la vacuna"
,2,No
,9,NS/NR
ADUL102,1,Sí
,2,No
,9,NS/NR
ADUL103,1,Sí
,2,No
,9,NS/NR
NOTA05,1,Favor de Continuar
ADUL104,1,"Sí, dice haberse aplicado la vacuna"
,2,No
,9,NS/NR
ADUL106,1,"Sí, dice haberse aplicado la vacuna"
,2,No
,9,NS/NR
ADUL107,1,Sí
,2,No
,9,NS/NR
ADUL108,1,Sí
,2,No
,9,NS/NR
NOTA05A,1,Favor de Continuar
ADUL1A01,1,todos los días?
,2,algunos días?
,3,no fuma actualmente?
,9,No responde
ADUL1A04A,1,todos los días?
,2,algunos días?
,3,Nunca ha fumado?
,9,No responde
ADUL1A04B,1,Años
,2,Meses
,3,Semanas
,4,Días
,5,Menos de un día
,9,No responde
ADUL1A05,1,todos los días?
,2,algunos días?
,3,actualmente no consume
,4,No conoce el cigarro electrónico
,9,No responde
ADUL1A06,1,Diario?
,2,Semanal?
,3,Mensual?
,4,Anual?
,5,No consume
,9,No responde
ADUL1A06A,1,Diario?
,2,Semanal?
,3,Mensual?
,4,7 a 11 veces al año
,5,1 a 6  veces al año
,6,Nunca
,9,No responde
ADUL1A06B,1,Diario?
,2,Semanal?
,3,Mensual?
,4,7 a 11 veces al año
,5,1 a 6  veces al año
,6,Nunca
,9,No responde
NOTA06,1,Favor de Continuar
ADUL201,1,Sí
,2,No
,9,NS/NR
ADUL202A,01,Agresiones con substancias
,02,"Sofocación, estrangulamiento, ahogamiento"
,03,Herida por arma de fuego
,04,"Herida por arma punzocortante (cuchillos, navajas, etc.)"
,05,Empujón desde un lugar elevado
,06,"Golpes, patadas, puñetazos"
,07,Agresión sexual
,08,Envenenamiento u obstrucción de las vías respiratorias por s
