Variable,Posición,Etiqueta
FOLIO_I,1,Folio
ID_INT,2,Integrante en el Hogar
FOLIO_INT,3,Folio Integrante en el hogar
estrato,4,Estrato de Urbanidad según tamaño de la localidad
region_cv,5,Regiones CV-19
est_sel,6,Estrato de selección
Upm,7,Unidad Primaria de Muestreo
ENTIDAD,8,Entidad
DESC_ENT,9,DESC_ENT
MUNICIPIO,10,Municipio
DESC_MUN,11,DESC_MUN
MAQUINA,12,Maquina
HORA_INI_1,13,Hora de Inicio 1
FECHA_INI_1,14,Fecha de Inicio 1
HORA_FIN_1,15,Hora termino 1
FECHA_FIN_1,16,Fecha termino 1
TIEMPO1,17,Duración de la Entrevista 1
RESULTADO_1,18,Resultado de entrevista 1
HORA_INI_2,19,Hora de Inicio 2
FECHA_INI_2,20,Fecha de Inicio 2
HORA_FIN_2,21,Hora de Termino 2
FECHA_FIN_2,22,Fecha de Termino 2
TIEMPO2,23,Duración de la Entrevista 2
RESULTADO_2,24,Resultado de entrevista 2
HORA_INI_3,25,Hora de Inicio 3
FECHA_INI_3,26,Fecha de Inicio 3
HORA_FIN_3,27,Hora de Termino 3
FECHA_FIN_3,28,Fecha de Termino 3
TIEMPO3,29,Duración de la Entrevista 3
RESULTADO_3,30,Resultado de entrevista 3
HORA_INI_4,31,Hora de Inicio 4
FECHA_INI_4,32,Fecha de Inicio 4
HORA_FIN_4,33,Hora de Termino 4
FECHA_FIN_4,34,Fecha de Termino 4
TIEMPO4,35,Duración de la Entrevista 4
RESULTADO_4,36,Resultado de entrevista 4
HORA_INI,37,Hora de Inicio
FECHA_INI,38,Fecha de inicio
NOTA1,39,Concentimiento para realizar la entrevista
ADUL,40,ADULTOS
H0302,41,Sexo
H0303,42,Edad
H0304,43,Fecha de Nacimiento
MESES,44,Meses adicionales en relacion a la fecha de cumpleaños
LOCALIZADO,45,localizado
NOTA04,46,NOTA04 Sección 1. Aceptabilidad Vacunas
ADUL101,47,"ADUL101 1. A partir de septiembre del año pasado y hasta el día de hoy, ¿le han aplicado la vacuna contra la Influenza?"
ADUL102,48,ADUL102 2. Aceptaría aplicarse la vacuna de la influenza en los próximos meses (octubre-diciembre 2020)?
ADUL103,49,ADUL103 3.  Aceptaría aplicarse la vacuna contra COVID en el momento en el que esté disponible?
NOTA05,50,"NOTA05 LAS SIGUIENTES PREGUNTAS SE REFIEREN A TODAS LAS VACUNAS QUE LE HAN APLICADO A PARTIR DE LOS 60 AÑOS, CONSIDERE LAS VACUNAS QUE LE APLICARON EN LA UNIDAD MÉDICA, CON EL MÉDICO PRIVADO, DURANTE CAMPAÑAS DE VACUNACIÓN O EN SU CASA"
ADUL104,51,ADUL104 4. ¿Le han aplicado la vacuna contra el Neumococo?
ADUL105,52,ADUL105 5.  ¿Cuántas veces le han aplicado la vacuna contra Neumococo?
ADUL106,53,"ADUL106 6. A partir de septiembre del año pasado y hasta el día de hoy, ¿le han aplicado la vacuna contra la Influenza?"
ADUL107,54,ADUL107 7. Aceptaría aplicarse la vacuna de la influenza en los próximos meses (octubre-diciembre 2020)?
ADUL108,55,ADUL108 8. Aceptaría aplicarse la vacuna contra COVID en el momento en el que esté disponible?
NOTA05A,56,NOTA05A Sección 1A Tabaco
ADUL1A01,57,ADUL1a01 Actualmente fuma tabaco...
ADUL1A02A,58,ADUL1a02A ¿A que edad comenzaste a fumar productos de tabaco todos los días?
ADUL1A02B,59,ADUL1a02B En promedio ¿Cuántos cigarrillos fuma actualmente por día?
ADUL1A03,60,ADUL1a03 En promedio ¿Cuántos cigarrillos fuma actualmente por semana?
ADUL1A04A,61,ADUL1a04a En el pasado ¿Has fumado productos de tabaco...
ADUL1A04B,62,ADUL1a04b ¿Hace cuánto tiempo dejaste definitivamente de fumar?
ADUL1A04BT,63,ADUL1a04bT Tiempo
ADUL1A05,64,ADUL1a05 ¿Actualmente consumes cigarros electrónicos ?
