Valor,,Etiqueta
h0302,1,Hombre
,2,Mujer
h0304d,1,01
,2,02
,3,03
,4,04
,5,05
,6,06
,7,07
,8,08
,9,09
,10,10
,11,11
,12,12
,13,13
,14,14
,15,15
,16,16
,17,17
,18,18
,19,19
,20,20
,21,21
,22,22
,23,23
,24,24
,25,25
,26,26
,27,27
,28,28
,29,29
,30,30
,31,31
,99,No sabe
h0304m,1,Enero
,2,Febrero
,3,Marzo
,4,Abril
,5,Mayo
,6,Junio
,7,Julio
,8,Agosto
,9,Septiembre
,10,Octubre
,11,Noviembre
,12,Diciembre
,99,No sabe
h0305,1,Jefa(e)
,2,Esposa(o) o pareja
,3,Hija(o)
,4,Nieta(o)
,5,Nuera o yerno
,6,Madre o Padre
,7,Suegra(o)
,8,Otro
,9,Sin parentesco
int_nuevo,1,Sí
,2,No
h0306,1,"Aquí, en este estado"
,2,En otro estado
,3,En Estados Unidos de América
,4,En otro país
h0306e,1,01 AGUASCALIENTES
,2,02 BAJA CALIFORNIA
,3,03 BAJA CALIFORNIA SUR
,4,04 CAMPECHE
,5,05 COAHUILA DE ZARAGOZA
,6,06 COLIMA
,7,07 CHIAPAS
,8,08 CHIHUAHUA
,9,09 CIUDAD DE MÉXICO
,10,10 DURANGO
,11,11 GUANAJUATO
,12,12 GUERRERO
,13,13 HIDALGO
,14,14 JALISCO
,15,15 MÉXICO
,16,16 MICHOACÁN DE OCAMPO
,17,17 MORELOS
,18,18 NAYARIT
,19,19 NUEVO LEÓN
,20,20 OAXACA
,21,21 PUEBLA
,22,22 QUERÉTARO
,23,23 QUINTANA ROO
,24,24 SAN LUIS POTOSÍ
,25,25 SINALOA
,26,26 SONORA
,27,27 TABASCO
,28,28 TAMAULIPAS
,29,29 TLAXCALA
,30,30 VERACRUZ DE IGNACIO DE LA LLAVE
,31,31 YUCATÁN
,32,32 ZACATECAS
h0306p,1,Afganistán
,2,Albania
,3,Alemania
,4,Andorra
,5,Angola
,6,Antigua y Barbuda
,7,Arabia Saudita
,8,Argelia
,9,Argentina
,10,Armenia
,11,Australia
,12,Austria
,13,Azerbaiyán
,14,Bahamas
,15,Bangladés
,16,Barbados
,17,Baréin
,18,Bélgica
,19,Belice
,20,Benín
,21,Bielorrusia
,22,Birmania
,23,Bolivia
,24,Bosnia y Herzegovina
,25,Botsuana
,26,Brasil
,27,Brunéi
,28,Bulgaria
,29,Burkina Faso
,30,Burundi
,31,Bután
,32,Cabo Verde
,33,Camboya
,34,Camerún
,35,Canadá
,36,Catar
,37,Chad
,38,Chile
,39,China
,40,Chipre
,41,Ciudad del Vaticano
,42,Colombia
,43,Comoras
,44,Corea del Norte
,45,Corea del Sur
,46,Costa de Marfil
,47,Costa Rica
,48,Croacia
,49,Cuba
,50,Dinamarca
,51,Dominica
,52,Ecuador
,53,Egipto
,54,El Salvador
,55,Emiratos Árabes Unidos
,56,Eritrea
,57,Eslovaquia
,58,Eslovenia
,59,España
,60,Estados Unidos
,61,Estonia
,62,Etiopía
,63,Filipinas
,64,Finlandia
,65,Fiyi
,66,Francia
,67,Gabón
,68,Gambia
,69,Georgia
,70,Ghana
,71,Granada
,72,Grecia
,73,Guatemala
,74,Guyana
,75,Guinea
,76,Guinea ecuatorial
,77,Guinea-Bisáu
,78,Haití
,79,Honduras
,80,Hungría
,81,India
,82,Indonesia
,83,Irak
